band_name,fans,formed,origin,split,style,soup
Mithras,41,1998,United Kingdom,1998,Atmospheric death Brutal death,Atmospheric death Brutal death United Kingdom
Necrophagia,41,1983,USA,-,Death,Death USA
Pathology,41,2006,USA,2006,Brutal death,Brutal death USA
Peccatum,41,1998,Norway,2006,Avantgarde,Avantgarde Norway
Saint Deamon,41,2006,Sweden,2006,Heavy Power,Heavy Power Sweden
Saltatio Mortis,41,2000,Germany,-,Medieval folk,Medieval folk Germany
Suspyre,41,2001,USA,2001,Progressive,Progressive USA
Taranis,41,1999,Hungary,2013,Symphonic black Progressive,Symphonic black Progressive Hungary
Trepalium,41,2000,France,2000,Death,Death France
A Pale Horse Named Death,40,2011,USA,-,Doom Gothic,Doom Gothic USA
Ablaze In Hatred,40,2004,Finland,2004,Melodic death Doom,Melodic death Doom Finland
Aetherian,40,2013,Greece,-,Melodic death,Melodic death Greece
Almôra,40,2001,Turkey,2001,Power Folk,Power Folk Turkey
Dreamshade,40,2006,Switzerland,-,Melodic death,Melodic death Switzerland
Dredg,40,1993,USA,1993,Alternative Progressive rock,Alternative Progressive rock USA
Gwydion,40,1995,Portugal,-,Viking folk,Viking folk Portugal
Huntress,40,2009,USA,2009,Heavy,Heavy USA
Inborn Suffering,40,2002,France,-,Death Doom,Death Doom France
Leverage,40,2004,Finland,2004,Symphonic power Progressive heavy,Symphonic power Progressive heavy Finland
Man Must Die,40,2002,United Kingdom,-,Technical death,Technical death United Kingdom
Mandragora Scream,40,1997,Italy,1997,Gothic,Gothic Italy
Mokoma,40,1996,Finland,-,Grunge rock Thrash,Grunge rock Thrash Finland
Mortal Love,40,2000,Norway,2000,Gothic,Gothic Norway
Mortiis,40,1993,Norway,-,Ambient Darkwave Gothic industrial,Ambient Darkwave Gothic industrial Norway
Sunset In The 12th House,40,2011,Romania,2011,Post-metal Post-rock Psychedelic rock,Post-metal Post-rock Psychedelic rock Romania
Warrant,40,1984,USA,-,Hard rock,Hard rock USA
Assassin,39,1982,Germany,1982,Thrash,Thrash Germany
Azaghal,39,1995,Finland,-,Black,Black Finland
Brutality,39,1986,USA,1986,Death,Death USA
Budgie,39,1967,United Kingdom,-,Hard rock Heavy Progressive rock,Hard rock Heavy Progressive rock United Kingdom
Cauldron,39,2006,Canada,2006,Heavy,Heavy Canada
Demigod,39,1990,Finland,2008,Death,Death Finland
Dissona,39,2005,USA,2005,Progressive Avantgarde,Progressive Avantgarde USA
Ixion,39,2004,France,-,Atmospheric doom,Atmospheric doom France
Katra,39,2006,Finland,2006,Symphonic,Symphonic Finland
Nomans Land,39,1996,Russia,-,Doom Viking folk Viking black,Doom Viking folk Viking black Russia
Ondskapt,39,2000,Sweden,2000,Black,Black Sweden
Rudra,39,1992,Singapore,-,Death Thrash,Death Thrash Singapore
Shattered Hope,39,2002,Greece,2002,Death doom,Death doom Greece
Spastic Ink,39,1993,USA,-,Progressive Instrumental,Progressive Instrumental USA
Wormed,39,1998,Spain,1998,Brutal death Grindcore,Brutal death Grindcore Spain
Aborym,38,1991,Italy,-,Industrial black,Industrial black Italy
Belenos,38,1995,France,1995,Pagan black,Pagan black France
Church Of Misery,38,1995,Japan,-,Doom Stoner,Doom Stoner Japan
Cirith Ungol,38,1972,USA,1972,Heavy Doom,Heavy Doom USA
Crystal Viper,38,2003,Poland,-,Heavy,Heavy Poland
Darkwell,38,1999,Austria,1999,Gothic,Gothic Austria
Destinity,38,1996,France,-,Symphonic black Melodic death,Symphonic black Melodic death France
Dismal Euphony,38,1992,Norway,1992,Death Melodic black,Death Melodic black Norway
Divinefire,38,2004,Sweden,-,Power,Power Sweden
Domine,38,1983,Italy,1983,Power,Power Italy
Falls Of Rauros,38,2005,USA,-,Atmospheric black Neofolk,Atmospheric black Neofolk USA
Gates Of Ishtar,38,1992,Sweden,1992,Melodic death,Melodic death Sweden
Girlschool,38,1975,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Gorgasm,38,1996,USA,1996,Brutal death,Brutal death USA
Hecate Enthroned,38,1993,United Kingdom,-,Symphonic black Blackened death Melodic black,Symphonic black Blackened death Melodic black United Kingdom
Intervals,38,2011,Canada,2011,Progressive,Progressive Canada
Lita Ford,38,1979,USA,-,Hard rock Heavy,Hard rock Heavy USA
Luna Mortis,38,2008,USA,2008,Melodic death,Melodic death USA
Morgul,38,1991,Norway,-,Black,Black Norway
Outworld,38,1997,USA,1997,Progressive power,Progressive power USA
Pomegranate Tiger,38,2008,Canada,-,Progressive Instrumental,Progressive Instrumental Canada
Seven Kingdoms,38,2006,USA,2006,Power,Power USA
Striker,38,2007,Canada,-,Thrash Speed,Thrash Speed Canada
Uncle Acid & The Deadbeats,38,2009,United Kingdom,2009,Doom Psychedelic rock,Doom Psychedelic rock United Kingdom
Varathron,38,1988,Greece,-,Black,Black Greece
Wormrot,38,2007,Singapore,2007,Grindcore,Grindcore Singapore
Yearning,38,1994,Finland,2010,Symphonic gothic Atmospheric doom,Symphonic gothic Atmospheric doom Finland
Adorned Brood,37,1993,Germany,1993,Folk Black,Folk Black Germany
Ancient Wisdom,37,1992,Sweden,-,Atmospheric black,Atmospheric black Sweden
Burst,37,1993,Sweden,1993,Progressive metalcore Hardcore Post-hardcore  Post-metal Progressive sludge,Progressive metalcore Hardcore Post-hardcore  Post-metal Progressive sludge Sweden
Demonoid,37,2002,Sweden,-,Death Thrash,Death Thrash Sweden
Detonation,37,1997,The Netherlands,1997,Melodic death Thrash,Melodic death Thrash The Netherlands
Downfall Of Nur,37,2013,Argentina,-,Atmospheric black Folk,Atmospheric black Folk Argentina
Grip Inc.,37,1993,USA,1993,Thrash,Thrash USA
Katalepsy,37,2003,Russia,-,Brutal death,Brutal death Russia
Khors,37,2004,Ukraine,2004,Black,Black Ukraine
Mael Mórdha,37,1998,Ireland,-,Celtic doom,Celtic doom Ireland
Omen,37,1983,USA,1983,Heavy Us power,Heavy Us power USA
On Thorns I Lay,37,1992,Greece,-,Gothic Death doom Doom,Gothic Death doom Doom Greece
Progenie Terrestre Pura,37,2009,Italy,2009,Atmospheric black Industrial black,Atmospheric black Industrial black Italy
Pungent Stench,37,1988,Austria,2007,Death,Death Austria
Steel Attack,37,1995,Sweden,1995,Heavy Power,Heavy Power Sweden
Superjoint Ritual,37,1993,USA,2004,Sludge,Sludge USA
Torchbearer,37,2003,Sweden,2003,Blackened death Thrash,Blackened death Thrash Sweden
Viikate,37,1996,Finland,-,Melodic heavy,Melodic heavy Finland
Waltari,37,1986,Finland,1986,Progressive thrash Avantgarde Alternative Symphonic death Industrial,Progressive thrash Avantgarde Alternative Symphonic death Industrial Finland
Æther Realm,36,2010,USA,-,Melodic death Folk,Melodic death Folk USA
...And Oceans,36,1995,Finland,1995,Symphonic black Industrial,Symphonic black Industrial Finland
Agruss,36,2009,Ukraine,-,Atmospheric black Death,Atmospheric black Death Ukraine
Anal Cunt,36,1988,USA,1988,Grindcore Noisecore,Grindcore Noisecore USA
Aquaria,36,1999,Brazil,-,Symphonic power,Symphonic power Brazil
Arena,36,1995,United Kingdom,1995,Progressive,Progressive United Kingdom
Broken Hope,36,1988,USA,-,Death Goregrind,Death Goregrind USA
Chimp Spanner,36,2004,United Kingdom,2004,Progressive Djent Instrumental,Progressive Djent Instrumental United Kingdom
Crisix,36,2008,Spain,-,Thrash,Thrash Spain
Draugnim,36,1999,Finland,1999,Pagan black,Pagan black Finland
Fueled By Fire,36,2002,USA,-,Thrash,Thrash USA
Hammers Of Misfortune,36,1998,USA,1998,Progressive,Progressive USA
Khold,36,2000,Norway,-,Black,Black Norway
Krampus,36,2009,Italy,2009,Folk Melodic death,Folk Melodic death Italy
Krux,36,2002,Sweden,-,Doom,Doom Sweden
Lunarsea,36,2003,Italy,2003,Melodic death,Melodic death Italy
Mitochondrion,36,2003,Canada,-,Progressive death Blackened death,Progressive death Blackened death Canada
Monuments,36,2006,United Kingdom,2006,Progressive math Djent,Progressive math Djent United Kingdom
Mortification,36,1990,Australia,-,Death,Death Australia
Nader Sadek,36,2011,USA,2011,Death,Death USA
Nightmare,36,1979,France,-,Heavy Symphonic power,Heavy Symphonic power France
Paul Wardingham,36,2010,Australia,2010,Progressive math,Progressive math Australia
Protector,36,1986,Germany,-,Death Thrash,Death Thrash Germany
Putrid Pile,36,2000,USA,2000,Brutal death,Brutal death USA
Times Of Grace,36,2007,USA,-,Melodic metalcore,Melodic metalcore USA
Tombs,36,2007,USA,2007,Black Sludge,Black Sludge USA
Trick Or Treat,36,2002,Italy,-,Power,Power Italy
Tyranny,36,2001,Finland,2001,Funeral doom,Funeral doom Finland
Vehemence,36,1997,USA,-,Technical death,Technical death USA
Aesma Daeva,35,1998,USA,1998,Symphonic,Symphonic USA
Altaria,35,1999,Finland,2016,Power,Power Finland
Chevelle,35,1995,USA,1995,Alternative Hard rock,Alternative Hard rock USA
Dirge,35,1994,France,-,Sludge Industrial Atmospheric sludge Doom,Sludge Industrial Atmospheric sludge Doom France
Estradasphere,35,1998,USA,1998,Avantgarde Fusion,Avantgarde Fusion USA
Evereve,35,1993,Germany,-,Atmospheric gothic,Atmospheric gothic Germany
Fferyllt,35,2003,Russia,2003,Folk,Folk Russia
Inferi,35,2006,USA,-,Melodic death Technical death,Melodic death Technical death USA
Kahtmayan,35,1998,Iran,1998,Progressive Thrash Instrumental,Progressive Thrash Instrumental Iran
Kimaera,35,2000,Lebanon,-,Death doom,Death doom Lebanon
Korzus,35,1983,Brazil,1983,Thrash,Thrash Brazil
Minsk,35,2002,USA,-,Post-metal,Post-metal USA
Noekk,35,2004,Germany,2004,Progressive doom,Progressive doom Germany
Nyktalgia,35,2001,Germany,2008,Depressive black,Depressive black Germany
Odious Mortem,35,1998,USA,1998,Technical death,Technical death USA
Orchid,35,2007,USA,-,Doom,Doom USA
Pan.thy.monium,35,1990,Sweden,1990,Avantgarde Progressive death,Avantgarde Progressive death Sweden
Pro-Pain,35,1992,USA,-,Crossover thrash Hardcore,Crossover thrash Hardcore USA
Spectral Lore,35,2005,Greece,2005,Atmospheric black Dark ambient,Atmospheric black Dark ambient Greece
Steelwing,35,2009,Sweden,-,Heavy,Heavy Sweden
Subsignal,35,2007,Germany,2007,Progressive,Progressive Germany
Walls Of Jericho,35,1998,USA,1998,Metalcore,Metalcore USA
Abnormality,34,2005,USA,-,Brutal death Technical death,Brutal death Technical death USA
Ambeon,34,2001,The Netherlands,2001,Progressive Ambient,Progressive Ambient The Netherlands
Arafel,34,1997,Israel,-,Melodic black,Melodic black Israel
Ashes Of Ares,34,2012,USA,2012,Heavy,Heavy USA
Ashes You Leave,34,1995,Croatia,-,Doom Gothic doom,Doom Gothic doom Croatia
Atrophy,34,1986,USA,1986,Thrash,Thrash USA
Dawn Of Demise,34,2003,Denmark,-,Death,Death Denmark
Emptiness,34,1998,Belgium,1998,Blackened death,Blackened death Belgium
Ghost Bath,34,2012,USA,-,Depressive black Post-metal,Depressive black Post-metal USA
Menace Ruine,34,2006,Canada,2006,Atmospheric black Drone doom Neofolk Noise,Atmospheric black Drone doom Neofolk Noise Canada
Prostitute Disfigurement,34,2000,The Netherlands,-,Brutal death,Brutal death The Netherlands
Pythia,34,2007,United Kingdom,2007,Symphonic power,Symphonic power United Kingdom
Sadist,34,1991,Italy,-,Progressive death,Progressive death Italy
Shaolin Death Squad,34,2001,USA,2001,Progressive Avantgarde,Progressive Avantgarde USA
Storm,34,1993,Norway,1995,Blackened folk,Blackened folk Norway
Tad Morose,34,1991,Sweden,1991,Progressive power,Progressive power Sweden
Torture Squad,34,1990,Brazil,-,Death Thrash,Death Thrash Brazil
Tygers Of Pan Tang,34,1978,United Kingdom,1978,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
White Skull,34,1988,Italy,-,Power,Power Italy
Acid King,33,1993,USA,1993,Stoner,Stoner USA
Age Of Silence,33,2004,Norway,-,Avantgarde,Avantgarde Norway
Antaeus,33,1994,France,1994,Black,Black France
Aosoth,33,2002,France,-,Black,Black France
Artrosis,33,1995,Poland,1995,Gothic,Gothic Poland
Beyond The Black,33,2014,Germany,-,Symphonic,Symphonic Germany
Butterfly Temple,33,1995,Russia,1995,Pagan folk,Pagan folk Russia
Callisto,33,2001,Finland,-,Post-metal,Post-metal Finland
Eye Of Solitude,33,2010,United Kingdom,2010,Death doom,Death doom United Kingdom
Falchion,33,2002,Finland,2009,Melodic death Folk,Melodic death Folk Finland
Fjoergyn,33,2003,Germany,2003,Folk Symphonic,Folk Symphonic Germany
Funeralium,33,2003,France,-,Funeral doom,Funeral doom France
InnerWish,33,1995,Greece,1995,Power,Power Greece
Kalevala,33,2007,Russia,-,Folk,Folk Russia
Life Of Agony,33,1989,USA,1989,Hardcore Alternative Grunge,Hardcore Alternative Grunge USA
Loits,33,1996,Estonia,-,Black,Black Estonia
Manes,33,1993,Norway,1993,Black Electro avantgarde,Black Electro avantgarde Norway
Misþyrming,33,2013,Iceland,-,Black,Black Iceland
Morgion,33,1990,USA,1990,Death Doom,Death Doom USA
Obsidian Kingdom,33,2005,Spain,-,Extreme progressive,Extreme progressive Spain
Olympos Mons,33,2002,Finland,2002,Power,Power Finland
Slaughter,33,1984,Canada,1990,Death Thrash,Death Thrash Canada
Spineshank,33,1996,USA,1996,Industrial Nu,Industrial Nu USA
Sunburst,33,2010,Greece,-,Progressive Power,Progressive Power Greece
The 11th Hour,33,2008,The Netherlands,2008,Doom,Doom The Netherlands
The Exploited,33,1979,United Kingdom,-,Hardcore Crossover thrash Punk,Hardcore Crossover thrash Punk United Kingdom
Thergothon,33,1990,Finland,1990,Funeral doom,Funeral doom Finland
Torche,33,2004,USA,-,Stoner Sludge,Stoner Sludge USA
Viathyn,33,2006,Canada,2006,Progressive power,Progressive power Canada
Weeping Silence,33,1998,Malta,-,Gothic Doom,Gothic Doom Malta
Whyzdom,33,2007,France,2007,Symphonic,Symphonic France
Ásmegin,32,1998,Norway,-,Viking folk,Viking folk Norway
Arthemesia,32,1994,Finland,1994,Melodic black,Melodic black Finland
Botanist,32,2009,USA,-,Experimental black,Experimental black USA
Coffins,32,1996,Japan,1996,Death,Death Japan
Crashdïet,32,2000,Sweden,-,Glam,Glam Sweden
Cryptic Wintermoon,32,1993,Germany,1993,Symphonic black Thrash,Symphonic black Thrash Germany
Dawn Of Destiny,32,2005,Germany,-,Power,Power Germany
Deals Death,32,2008,Sweden,2008,Gothenburg,Gothenburg Sweden
Elder,32,2006,USA,-,Psychedelic rock Stoner,Psychedelic rock Stoner USA
Enslavement Of Beauty,32,1995,Norway,1995,Melodic black Gothic,Melodic black Gothic Norway
Ghoul,32,2001,USA,-,Death Thrash,Death Thrash USA
Hamferð,32,2008,Faroe Islands,2008,Doom,Doom Faroe Islands
Heavens Gate,32,1987,Germany,1999,Heavy,Heavy Germany
Megaherz,32,1993,Germany,1993,Industrial Alternative,Industrial Alternative Germany
Michael Angelo Batio,32,1993,USA,-,Neoclassical heavy Instrumental hard rock,Neoclassical heavy Instrumental hard rock USA
Nanowar Of Steel,32,2003,Italy,2003,Heavy Power,Heavy Power Italy
Narnia,32,1996,Sweden,-,Power,Power Sweden
Native Construct,32,2011,USA,2011,Progressive,Progressive USA
Nox Aurea,32,2005,Sweden,-,Melodic death Doom,Melodic death Doom Sweden
Raventale,32,2005,Ukraine,2005,Atmospheric black Doom,Atmospheric black Doom Ukraine
Sinner,32,1980,Germany,-,Heavy,Heavy Germany
SpellBlast,32,1999,Italy,1999,Folk Power,Folk Power Italy
Spiral Architect,32,1993,Norway,-,Technical progressive,Technical progressive Norway
Three,32,1994,USA,1994,Progressive rock,Progressive rock USA
Windhand,32,2008,USA,-,Doom Stoner,Doom Stoner USA
Amoral,31,1997,Finland,1997,Technical death Power Death Thrash,Technical death Power Death Thrash Finland
Blind Stare,31,1999,Finland,-,Melodic death Extreme power,Melodic death Extreme power Finland
Coffinworm,31,2007,USA,2007,Blackened sludge Doom,Blackened sludge Doom USA
Crucified Barbara,31,1998,Sweden,2016,Hard rock Heavy,Hard rock Heavy Sweden
Desultory,31,1989,Sweden,1989,Death,Death Sweden
Devian,31,2006,Sweden,2011,Black Death,Black Death Sweden
Dreadnought,31,2012,USA,2012,Black Folk Progressive,Black Folk Progressive USA
Endstille,31,2000,Germany,-,Black,Black Germany
Faithful Darkness,31,2004,Sweden,2004,Gothenburg,Gothenburg Sweden
Forest Silence,31,1997,Hungary,-,Dark Ambient Atmospheric black,Dark Ambient Atmospheric black Hungary
Helheim,31,1992,Norway,1992,Viking black,Viking black Norway
Human Fortress,31,1997,Germany,-,Hard rock Power,Hard rock Power Germany
Lascaille's Shroud,31,2008,USA,2008,Progressive death,Progressive death USA
Le Grand Guignol,31,1996,Luxembourg,-,Symphonic black Avantgarde black,Symphonic black Avantgarde black Luxembourg
Lingua Mortis Orchestra,31,2013,Germany,2013,Symphonic,Symphonic Germany
Longing For Dawn,31,2002,Canada,-,Death doom Funeral doom,Death doom Funeral doom Canada
Murmuüre,31,2006,France,2006,Ambient black,Ambient black France
Nailbomb,31,1994,Brazil,1995,Industrial thrash,Industrial thrash Brazil
Negative,31,1997,Finland,1997,Suomi Glam,Suomi Glam Finland
Panzerchrist,31,1994,Denmark,-,Death Blackened death,Death Blackened death Denmark
Rivers Of Nihil,31,2009,USA,2009,Technical death,Technical death USA
Root,31,1987,Czech Republic,-,Black,Black Czech Republic
Skuggsjá,31,2014,Norway,2014,Pagan folk,Pagan folk Norway
System Divide,31,2008,USA,2014,Melodic death,Melodic death USA
Teitanblood,31,2003,Spain,2003,Black Death,Black Death Spain
The Chasm,31,1993,Mexico,-,Death,Death Mexico
The Red Chord,31,1999,USA,1999,Deathcore Grindcore Technical deathcore,Deathcore Grindcore Technical deathcore USA
Verdunkeln,31,1998,Germany,-,Psychedelic black,Psychedelic black Germany
Abruptum,30,1990,Sweden,1990,Black Ambient Noise,Black Ambient Noise Sweden
Cadacross,30,1997,Finland,2005,Death Melodic death Folk Power,Death Melodic death Folk Power Finland
Carpe Noctem,30,2005,Iceland,2005,Black,Black Iceland
Cloak Of Altering,30,2011,The Netherlands,-,Avantgarde black,Avantgarde black The Netherlands
Code,30,1998,United Kingdom,1998,Black Doom Post-rock Progressive rock,Black Doom Post-rock Progressive rock United Kingdom
Criminal,30,1991,Chile,-,Death Thrash,Death Thrash Chile
Cryonic Temple,30,1996,Sweden,1996,Power,Power Sweden
Extreme Noise Terror,30,1985,United Kingdom,-,Crust Punk  Death Grindcore,Crust Punk  Death Grindcore United Kingdom
Faal,30,2005,The Netherlands,2005,Black Doom,Black Doom The Netherlands
Gormathon,30,2009,Sweden,-,Melodic death,Melodic death Sweden
Heretoir,30,2006,Germany,2006,Depressive black,Depressive black Germany
Hermética,30,1987,Argentina,1994,Thrash,Thrash Argentina
Highland Glory,30,2001,Norway,2001,Power,Power Norway
Iskald,30,2005,Norway,-,Melodic black,Melodic black Norway
Katharsis,30,1994,Germany,1994,Black,Black Germany
Kawir,30,1993,Greece,-,Pagan black,Pagan black Greece
Kuolemanlaakso,30,2010,Finland,2010,Death doom,Death doom Finland
Light This City,30,2002,USA,2008,Melodic death Metalcore,Melodic death Metalcore USA
Lizzy Borden,30,1983,USA,1983,Heavy,Heavy USA
Lullacry,30,1999,Finland,2014,Suomi,Suomi Finland
Merciless,30,1986,Sweden,1986,Thrash,Thrash Sweden
Mourning Lenore,30,2008,Portugal,2012,Death doom,Death doom Portugal
Netherion,30,2010,Syria,2010,Death,Death Syria
Phideaux,30,1996,USA,-,Progressive rock,Progressive rock USA
Runic,30,2001,Spain,2001,Viking folk Extreme power,Viking folk Extreme power Spain
Saurom,30,1996,Spain,-,Folk Power,Folk Power Spain
ScoX,30,2010,Iran,2010,Brutal death,Brutal death Iran
Solstice,30,1990,United Kingdom,-,Epic doom,Epic doom United Kingdom
Todesbonden,30,2003,USA,2003,Atmospheric doom Atmospheric gothic,Atmospheric doom Atmospheric gothic USA
Troll,30,1992,Norway,-,Industrial black,Industrial black Norway
Valkyrja,30,2004,Sweden,2004,Black,Black Sweden
Wulfgar,30,2005,Sweden,-,Melodic death,Melodic death Sweden
Ævangelist,29,2010,USA,2010,Blackened death,Blackened death USA
Almafuerte,29,1995,Argentina,-,Heavy Thrash Folk,Heavy Thrash Folk Argentina
American Head Charge,29,1996,USA,1996,Industrial Nu,Industrial Nu USA
Autumnblaze,29,1996,Germany,-,Black Gothic rock Doom Gothic,Black Gothic rock Doom Gothic Germany
Beheaded,29,1991,Malta,1991,Brutal death Technical death,Brutal death Technical death Malta
Christian Mistress,29,2008,USA,-,Heavy,Heavy USA
Daemonarch,29,1998,Portugal,1998,Melodic black,Melodic black Portugal
Destrage,29,2005,Italy,-,Melodic death Metalcore,Melodic death Metalcore Italy
Hammerforce,29,2006,Russia,2006,Symphonic Power Progressive,Symphonic Power Progressive Russia
King's X,29,1980,USA,-,Progressive rock Progressive,Progressive rock Progressive USA
Mare Cognitum,29,2011,USA,2011,Atmospheric black,Atmospheric black USA
Nahemah,29,1997,Spain,2012,Symphonic black Progressive death Post-metal,Symphonic black Progressive death Post-metal Spain
Necrodeath,29,1984,Italy,1984,Blackened thrash,Blackened thrash Italy
Nothgard,29,2008,Germany,-,Pagan black,Pagan black Germany
Onmyo-Za,29,1999,Japan,1999,Heavy Folk,Heavy Folk Japan
Pharaoh,29,1997,USA,-,Heavy Us power,Heavy Us power USA
Procession,29,2006,Chile,2006,Doom,Doom Chile
Scar The Martyr,29,2013,USA,-,Alternative Industrial,Alternative Industrial USA
Stravaganzza,29,2003,Spain,2003,Symphonic,Symphonic Spain
Sunless Rise,29,2006,Russia,-,Melodic death Extreme power,Melodic death Extreme power Russia
Theory In Practice,29,1995,Sweden,1995,Melodic death Technical death,Melodic death Technical death Sweden
Thrudvangar,29,1998,Germany,-,Viking black,Viking black Germany
Trauma,29,1988,Poland,1988,Death,Death Poland
Vale Of Pnath,29,2006,USA,-,Technical death,Technical death USA
Zimmers Hole,29,1991,Canada,1991,Speed Thrash,Speed Thrash Canada
Acheron,28,1988,USA,-,Blackened death,Blackened death USA
Barathrum,28,1990,Finland,1990,Black,Black Finland
Bell Witch,28,2010,USA,-,Funeral doom,Funeral doom USA
Bifröst,28,2005,Austria,2005,Pagan black Folk,Pagan black Folk Austria
Biomechanical,28,2001,United Kingdom,-,Progressive Thrash,Progressive Thrash United Kingdom
Black Flag,28,1976,USA,1976,Sludge Hardcore Punk,Sludge Hardcore Punk USA
Dies Irae,28,1992,Poland,2005,Death,Death Poland
Dreams Of Sanity,28,1991,Austria,1991,Symphonic,Symphonic Austria
Ekove Efrits,28,2001,Iran,-,Black,Black Iran
Folkstone,28,2004,Italy,2004,Folk,Folk Italy
Gloria Morti,28,1999,Finland,-,Thrash Melodic black Melodic death,Thrash Melodic black Melodic death Finland
Kälter,28,2006,Canada,2006,Melodic death Progressive,Melodic death Progressive Canada
Kobra And The Lotus,28,2008,Canada,-,Heavy,Heavy Canada
Kongh,28,2004,Sweden,2004,Sludge Doom,Sludge Doom Sweden
Negator,28,2003,Germany,-,Black,Black Germany
Nervosa,28,2010,Brazil,2010,Thrash,Thrash Brazil
Nightbringer,28,1999,USA,-,Black,Black USA
Obliteration,28,2001,Norway,2001,Death,Death Norway
Odious,28,1998,Egypt,-,Black Oriental folk,Black Oriental folk Egypt
Omega Lithium,28,2007,Croatia,2007,Gothic industrial,Gothic industrial Croatia
Poema Arcanus,28,1992,Chile,-,Progressive doom,Progressive doom Chile
Scarve,28,1994,France,1994,Technical death,Technical death France
Sceptic,28,1994,Poland,-,Technical death,Technical death Poland
Schandmaul,28,1998,Germany,1998,Medieval folk Medieval Folk rock,Medieval folk Medieval Folk rock Germany
Skagos,28,2007,Canada,-,Atmospheric black,Atmospheric black Canada
SpiRitual,28,2005,Germany,2005,Gothic,Gothic Germany
Svartby,28,2004,Russia,-,Folk,Folk Russia
The Amenta,28,2002,Australia,2002,Industrial death,Industrial death Australia
The Axis Of Perdition,28,2002,United Kingdom,2013,Industrial black Dark Ambient,Industrial black Dark Ambient United Kingdom
Weakling,28,1998,USA,1998,Black,Black USA
Welicoruss,28,2005,Russia,-,Symphonic black,Symphonic black Russia
When Nothing Remains,28,2010,Sweden,2010,Funeral doom,Funeral doom Sweden
Winger,28,1987,USA,-,Glam Hard rock,Glam Hard rock USA
Wretched,28,2005,USA,2005,Melodic deathcore Technical death,Melodic deathcore Technical death USA
Zeal And Ardor,28,2014,USA,-,Avantgarde black,Avantgarde black USA
Armageddon,27,1997,Sweden,1997,Melodic death Heavy Power,Melodic death Heavy Power Sweden
Atlantean Kodex,27,2005,Germany,-,Heavy Doom,Heavy Doom Germany
Beautiful Sin,27,2005,Germany,2005,Heavy,Heavy Germany
Callenish Circle,27,1992,The Netherlands,2007,Gothenburg,Gothenburg The Netherlands
Chaos Divine,27,2005,Australia,2005,Melodic death Progressive,Melodic death Progressive Australia
Crionics,27,1997,Poland,2011,Black Death,Black Death Poland
Crom,27,1997,Germany,1997,Viking folk Power,Viking folk Power Germany
Decadence,27,2003,Sweden,-,Thrash Melodic death,Thrash Melodic death Sweden
Dekadent,27,2005,Slovenia,2005,Symphonic black,Symphonic black Slovenia
Dråpsnatt,27,2005,Sweden,-,Atmospheric black Pagan black,Atmospheric black Pagan black Sweden
Emigrate,27,2005,Germany,2005,Industrial,Industrial Germany
Eucharist,27,1989,Sweden,-,Melodic death,Melodic death Sweden
Frosttide,27,2009,Finland,2009,Extreme power,Extreme power Finland
Hammer Horde,27,2007,USA,-,Pagan black,Pagan black USA
Immortal Souls,27,1991,Finland,1991,Melodic death Heavy Doom,Melodic death Heavy Doom Finland
Ingested,27,2004,United Kingdom,-,Brutal death,Brutal death United Kingdom
Insania,27,1992,Sweden,1992,Power,Power Sweden
Kekal,27,1995,Indonesia,-,Black Avantgarde,Black Avantgarde Indonesia
Khanate,27,2000,USA,2000,Extreme sludge Doom,Extreme sludge Doom USA
Leah,27,2010,Canada,-,Symphonic,Symphonic Canada
Oceans Of Sadness,27,1995,Belgium,1995,Extreme avantgarde Extreme progressive,Extreme avantgarde Extreme progressive Belgium
Paragon,27,1990,Germany,-,Power,Power Germany
Parasite Inc.,27,2007,Germany,2007,Melodic death,Melodic death Germany
Planet Of Zeus,27,2000,Greece,-,Stoner,Stoner Greece
Sister Sin,27,2002,Sweden,2002,Heavy,Heavy Sweden
Slechtvalk,27,1999,The Netherlands,-,Black,Black The Netherlands
Sons Of Seasons,27,2007,Germany,2007,Symphonic progressive,Symphonic progressive Germany
Sun Of The Blind,27,2006,Switzerland,-,Avantgarde black,Avantgarde black Switzerland
Svart Crown,27,2004,France,2004,Black Death,Black Death France
The Few Against Many,27,2008,Sweden,-,Melodic death Symphonic,Melodic death Symphonic Sweden
The Haarp Machine,27,2007,United Kingdom,2007,Technical death Progressive,Technical death Progressive United Kingdom
Therapy?,27,1989,United Kingdom,-,Alternative Hard rock,Alternative Hard rock United Kingdom
Thou,27,2005,USA,2005,Sludge Doom,Sludge Doom USA
Timo Tolkki,27,1994,Finland,-,Neoclassical power Progressive,Neoclassical power Progressive Finland
Worship,27,1998,Germany,1998,Funeral doom,Funeral doom Germany
Al-Namrood,26,2008,Saudi Arabia,-,Black,Black Saudi Arabia
An Abstract Illusion,26,2007,Sweden,2007,Melodic death Progressive death,Melodic death Progressive death Sweden
Arakain,26,1982,Czech Republic,-,Thrash,Thrash Czech Republic
Arcana Coelestia,26,2005,Italy,2005,Funeral doom Atmospheric black,Funeral doom Atmospheric black Italy
Bornholm,26,2000,Hungary,-,Pagan black,Pagan black Hungary
Bulldozer,26,1980,Italy,1980,Thrash,Thrash Italy
Cage,26,1992,USA,-,Heavy,Heavy USA
