band_name,fans,formed,origin,split,style,soup
So Much For Nothing,7,2007,Norway,-,Avantgarde Depressive black,Avantgarde Depressive black Norway
Sorcery (Swe),7,1986,Sweden,1986,Death,Death Sweden
Soulburn,7,1996,The Netherlands,-,Death,Death The Netherlands
Spiders,7,2010,Sweden,2010,Hard rock Heavy,Hard rock Heavy Sweden
Stick To Your Guns,7,2003,USA,-,Metalcore Hardcore,Metalcore Hardcore USA
Strydegor,7,2005,Germany,2005,Viking black,Viking black Germany
Su Ta Gar,7,1987,Spain,-,Heavy,Heavy Spain
Subhuman,7,2001,Italy,2001,Death Thrash,Death Thrash Italy
Subliminal Fear,7,2001,Italy,-,Melodic death,Melodic death Italy
Sycronomica,7,1996,Germany,1996,Melodic black,Melodic black Germany
The Dogma,7,1999,Italy,-,Symphonic power,Symphonic power Italy
The Drowning,7,2004,United Kingdom,2004,Doom Death,Doom Death United Kingdom
The Great Deceiver,7,2000,Sweden,-,Alternative,Alternative Sweden
The Moth Gatherer,7,2009,Sweden,2009,Post-metal Sludge,Post-metal Sludge Sweden
The Soulless,7,2010,United Kingdom,-,Melodic metalcore,Melodic metalcore United Kingdom
The Storyteller,7,1995,Sweden,1995,Heavy Power,Heavy Power Sweden
The Wandering Midget,7,2005,Finland,-,Doom,Doom Finland
Thirdmoon,7,1994,Austria,1994,Death,Death Austria
Thor,7,1973,Canada,-,Hard rock Heavy Power,Hard rock Heavy Power Canada
Thundra,7,1998,Norway,1998,Viking black,Viking black Norway
Thy Worshiper,7,1993,Poland,-,Pagan folk Black,Pagan folk Black Poland
Tublatanka,7,1982,Slovak Republic,1982,Melodic heavy Hard rock,Melodic heavy Hard rock Slovak Republic
Tysondog,7,1983,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Unfathomable Ruination,7,2010,United Kingdom,2010,Brutal death,Brutal death United Kingdom
Urt,7,2004,Estonia,-,Pagan black,Pagan black Estonia
Usnea,7,2011,USA,2011,Blackened doom,Blackened doom USA
Valkiria,7,1996,Italy,-,Gothic Black,Gothic Black Italy
Vaura,7,2012,USA,2012,Progressive,Progressive USA
Vemod,7,2000,Norway,-,Black,Black Norway
Venomous Concept,7,2004,USA,2004,Grindcore Hardcore Punk,Grindcore Hardcore Punk USA
Verwüstung,7,2010,USA,-,Ambient black Shoegaze Drone doom Post- Rock,Ambient black Shoegaze Drone doom Post- Rock USA
Vicious Art,7,2002,Sweden,2002,Death Thrash,Death Thrash Sweden
Wallachia,7,1992,Norway,-,Symphonic black,Symphonic black Norway
War From A Harlots Mouth,7,2005,Germany,2005,Math Metalcore,Math Metalcore Germany
Warrior,7,1983,USA,-,Heavy Power,Heavy Power USA
Wiegedood,7,2014,Belgium,2014,Black,Black Belgium
Winter's Verge,7,2004,Cyprus,-,Power,Power Cyprus
Wolfpakk,7,2010,Germany,2010,Heavy,Heavy Germany
Wraith Of The Ropes,7,2001,USA,-,Funeral doom,Funeral doom USA
2 Times Terror,6,2006,Finland,2006,Industrial,Industrial Finland
5 Star Grave,6,2005,Italy,-,Melodic death,Melodic death Italy
Abysmal Grief,6,1995,Italy,1995,Gothic doom,Gothic doom Italy
Adversarial,6,2007,Canada,-,Blackened death,Blackened death Canada
Age Of Artemis,6,2006,Brazil,2006,Melodic power,Melodic power Brazil
Airborn,6,1995,Italy,-,Power,Power Italy
Airged L'amh,6,1987,Greece,1987,Heavy Power Folk,Heavy Power Folk Greece
Aletheian,6,2003,USA,-,Melodic death,Melodic death USA
Alkemyst,6,1998,France,1998,Progressive power,Progressive power France
Allfader,6,2001,Norway,-,Black Death,Black Death Norway
Altar (ROM),6,1991,Romania,1991,Thrash,Thrash Romania
Amestigon,6,1993,Austria,-,Black,Black Austria
Amulance,6,1984,USA,1984,Power Speed,Power Speed USA
Angel Blake,6,2004,Sweden,-,Heavy,Heavy Sweden
Antropofagus,6,1998,Italy,1998,Brutal death,Brutal death Italy
Aoria,6,2007,Sweden,-,Progressive Post-rock,Progressive Post-rock Sweden
Arkham Witch,6,2008,United Kingdom,2008,Doom,Doom United Kingdom
Artefact,6,2000,France,-,Melodic black,Melodic black France
Asenblut,6,2006,Germany,2006,Pagan black,Pagan black Germany
Aska,6,1990,USA,-,Heavy Us power,Heavy Us power USA
Aspherium,6,2007,Norway,2007,Melodic death,Melodic death Norway
Balrog,6,1999,France,-,Black,Black France
Bastard Priest,6,2002,Sweden,2002,Death,Death Sweden
Behind The Scenery,6,1996,Germany,-,Gothenburg Progressive,Gothenburg Progressive Germany
Benighted In Sodom,6,2004,USA,2004,Atmospheric black,Atmospheric black USA
Bergraven,6,2002,Sweden,-,Black,Black Sweden
Bible Of The Devil,6,1999,USA,1999,Stoner,Stoner USA
Big End Bolt,6,2007,Russia,-,Brutal death,Brutal death Russia
Birth Of Depravity,6,2005,Greece,2005,Brutal death,Brutal death Greece
Blöod Düster,6,1991,Australia,-,Grindcore,Grindcore Australia
Black Autumn,6,1995,Germany,1995,Ambient black Doom,Ambient black Doom Germany
Black Bomb A,6,1995,France,-,Metalcore,Metalcore France
Black Monolith,6,2010,USA,2010,Black Post-metal Crust Punk,Black Post-metal Crust Punk USA
Black Steel,6,2000,Australia,-,Heavy Power,Heavy Power Australia
Blackstar Halo,6,1998,Finland,1998,Melodic heavy,Melodic heavy Finland
Bumblefoot,6,1998,USA,-,Progressive hard rock,Progressive hard rock USA
Burn The Priest,6,1994,USA,1994,Death,Death USA
Buzzov?en,6,1989,USA,-,Sludge,Sludge USA
Cain's Dinasty,6,2006,Spain,2006,Power,Power Spain
Car Bomb,6,2000,USA,-,Math Metalcore,Math Metalcore USA
Carpathian Full Moon,6,1990,Norway,1990,Black Doom,Black Doom Norway
Cauldron Born,6,1994,USA,2003,Us power,Us power USA
Centurian,6,1997,The Netherlands,1997,Death,Death The Netherlands
Cerebral Fix,6,1986,United Kingdom,-,Thrash,Thrash United Kingdom
Chapel Of Disease,6,2008,Germany,2008,Death,Death Germany
Clinging To The Trees Of A Forest Fire,6,2006,USA,2013,Grindcore,Grindcore USA
Cold Snap,6,2003,Croatia,2003,Nu,Nu Croatia
Coldworker,6,2006,Sweden,2013,Death,Death Sweden
Crimson Death,6,1994,Peru,1994,Gothenburg,Gothenburg Peru
Crises,6,1995,Germany,-,Progressive,Progressive Germany
Crocell,6,2007,Denmark,2007,Melodic death,Melodic death Denmark
Cruxifiction,6,2005,France,-,Melodic black Death Thrash,Melodic black Death Thrash France
Dämmerfarben,6,2005,Germany,2005,Atmospheric black,Atmospheric black Germany
Dark Illusion,6,1982,Sweden,-,Hard rock Power,Hard rock Power Sweden
Deathember,6,2008,Sweden,2008,Groove thrash,Groove thrash Sweden
Decayed,6,1990,Portugal,-,Black,Black Portugal
Decaying,6,2010,Finland,2010,Death,Death Finland
December's Cold Winter,6,2000,Costa Rica,2009,Melodic death,Melodic death Costa Rica
